,date,home_team,away_team,score,odd_1,odd_N,odd_2,winner,league_season,game_url
1030,02.11.2002,West Brom,Manchester City,1:2,2.45,3.15,2.88,2.0,premier-league-2002-2003,/soccer/england/premier-league-2002-2003/west-brom-manchester-city/M1WDbVTr/
1031,28.10.2002,Bolton,Sunderland,1:1,2.25,3.13,3.30,1.0,premier-league-2002-2003,/soccer/england/premier-league-2002-2003/bolton-sunderland/QoTQ5Dy9/
1032,27.10.2002,Southampton,Fulham,4:2,2.48,3.12,2.83,0.0,premier-league-2002-2003,/soccer/england/premier-league-2002-2003/southampton-fulham/6LMVsAq2/
1033,27.10.2002,West Ham,Everton,0:1,2.23,3.22,3.23,2.0,premier-league-2002-2003,/soccer/england/premier-league-2002-2003/west-ham-everton/CrPM6gM2/
1034,26.10.2002,Arsenal,Blackburn,1:2,1.39,4.53,7.37,2.0,premier-league-2002-2003,/soccer/england/premier-league-2002-2003/arsenal-blackburn/pbMWif79/
1035,26.10.2002,Birmingham,Manchester City,0:2,2.15,3.25,3.37,2.0,premier-league-2002-2003,/soccer/england/premier-league-2002-2003/birmingham-manchester-city/OlLziEMF/
1036,26.10.2002,Chelsea,West Brom,2:0,1.44,4.30,6.83,0.0,premier-league-2002-2003,/soccer/england/premier-league-2002-2003/chelsea-west-brom/IBKvjYyM/
1037,26.10.2002,Liverpool,Tottenham,2:1,1.59,3.67,5.80,0.0,premier-league-2002-2003,/soccer/england/premier-league-2002-2003/liverpool-tottenham/zXnikhiS/
1038,26.10.2002,Manchester Utd,Aston Villa,1:1,1.32,4.98,8.17,1.0,premier-league-2002-2003,/soccer/england/premier-league-2002-2003/manchester-united-aston-villa/tEPJpCaq/
1039,26.10.2002,Middlesbrough,Leeds,2:2,2.36,3.07,2.93,1.0,premier-league-2002-2003,/soccer/england/premier-league-2002-2003/middlesbrough-leeds/K4ONqWEk/
1040,26.10.2002,Newcastle,Charlton,2:1,1.61,3.60,5.57,0.0,premier-league-2002-2003,/soccer/england/premier-league-2002-2003/newcastle-utd-charlton/SUNRrjUe/
1041,23.10.2002,Fulham,West Ham,0:1,1.96,3.20,3.82,2.0,premier-league-2002-2003,/soccer/england/premier-league-2002-2003/fulham-west-ham/SMRRhzh3/
1042,21.10.2002,Aston Villa,Southampton,0:1,1.78,3.30,4.73,2.0,premier-league-2002-2003,/soccer/england/premier-league-2002-2003/aston-villa-southampton/lWSNgGxc/
1043,20.10.2002,Charlton,Middlesbrough,1:0,2.87,3.10,2.46,0.0,premier-league-2002-2003,/soccer/england/premier-league-2002-2003/charlton-middlesbrough/YPcUVCpj/
1044,20.10.2002,Tottenham,Bolton,3:1,1.63,3.57,5.80,0.0,premier-league-2002-2003,/soccer/england/premier-league-2002-2003/tottenham-bolton/WAGXUWad/
1045,19.10.2002,Blackburn,Newcastle,5:2,2.58,3.05,2.78,0.0,premier-league-2002-2003,/soccer/england/premier-league-2002-2003/blackburn-newcastle-utd/tr1YvHN3/
1046,19.10.2002,Everton,Arsenal,2:1,4.80,3.47,1.71,0.0,premier-league-2002-2003,/soccer/england/premier-league-2002-2003/everton-arsenal/fo5xvywA/
1047,19.10.2002,Fulham,Manchester Utd,1:1,4.05,3.27,1.93,1.0,premier-league-2002-2003,/soccer/england/premier-league-2002-2003/fulham-manchester-united/xAfswehG/
1048,19.10.2002,Leeds,Liverpool,0:1,2.77,3.05,2.56,2.0,premier-league-2002-2003,/soccer/england/premier-league-2002-2003/leeds-liverpool/nL1Uuc8c/
